,PLAYER_ID,PLAYER_NAME,PLAYER_POSITION,TEAM_ID,PLAYER_BACK_NUMBER,PLAYER_BIRTH_DATE,PLAYER_HEIGHT_WEIGHT,PLAYER_EDUCATION_PATH
713,714,천재환,외야수,1,23.0,1994-04-01,"181cm, 83kg",대전신흥초-공주중-화순고-고려대
714,715,최보성,내야수,1,130.0,1998-10-16,"181cm, 88kg",진해장복초(진해리틀)-외포중-개성고
715,716,최성영,투수,1,26.0,1997-04-28,"180cm, 85kg",영랑초-설악중-설악고-NC-상무
716,717,최우석,투수,1,48.0,2005-03-31,"190cm, 90kg",서흥초-동인천중-비봉고
717,718,최윤혁,투수,1,131.0,2004-01-07,"185cm, 93kg",강릉율곡초-경포중-강릉고-강릉영동대
718,719,최정원,내야수,1,14.0,2000-06-24,"176cm, 70kg",서원초-청주중-청주고-NC-상무
719,720,한석현,외야수,1,33.0,1994-05-17,"181cm, 73kg",후암초-대천중-경남고-LG
720,721,한재승,투수,1,55.0,2001-11-21,"180cm, 90kg",동막초-상인천중-인천고
721,722,한재환,내야수,1,35.0,2001-10-19,"177cm, 89kg",기장대청초(기장리틀)-대신중-개성고
722,723,홍유원,투수,1,132.0,2005-05-17,"188cm, 96kg",울산대현초-포항중-대구고
723,724,홍재문,투수,1,96.0,2004-07-09,"183cm, 95kg",청주우암초-청주중-청주고-동의과학대
724,725,강동형,외야수,6,104.0,1999-12-07,"186cm, 86kg",용인초(구리리틀)-마산중-배명고-경성대
725,726,강승호,내야수,6,23.0,1994-02-09,"178cm, 88kg",순천북초-천안북중-북일고-LG-경찰-LG-SK
726,727,강현구,외야수,6,60.0,2002-06-16,"186cm, 98kg",서울도림초(인천남동구리틀)-동산중-인천고
727,728,고효준,투수,6,35.0,1983-02-08,"179cm, 81kg",서원초-세광중-세광고-롯데-SK-KIA-롯데-LG-SSG
728,729,곽빈,투수,6,47.0,1999-05-28,"187cm, 95kg",서울학동초-자양중-배명고
729,730,권휘,투수,6,18.0,2000-12-07,"181cm, 87kg",대림초-강남중-덕수고
730,731,김기연,포수,6,45.0,1997-09-07,"178cm, 106kg",광주수창초-진흥중-진흥고-LG
731,732,김대한,외야수,6,27.0,2000-12-06,"185cm, 83kg",숭인초(강북구리틀)-덕수중-휘문고
732,733,김도윤,투수,6,66.0,2002-06-28,"181cm, 83kg",신도초(계룡시리틀)-현도중-청주고
733,734,김동준,내야수,6,48.0,2002-09-04,"193cm, 100kg",군산신풍초-군산중-군산상고
734,735,김명신,투수,6,46.0,1993-11-29,"178cm, 90kg",남도초-대구중-경북고-경성대
735,736,김무빈,투수,6,64.0,2005-04-11,"181cm, 85kg",역삼초-대치중-신일고
736,737,김민규,투수,6,19.0,1999-05-07,"183cm, 90kg",장평초(광진구리틀)-잠신중-휘문고-두산-상무
737,738,김민석,외야수,6,2.0,2004-05-09,"185cm, 83kg",신도초-휘문중-휘문고-롯데
738,739,김민혁,내야수,6,10.0,1996-05-03,"188cm, 100kg",광주대성초-광주동성중-광주동성고
739,740,김민호,내야수,6,124.0,2002-02-08,"180cm, 76kg",화곡초-선린중-성남고-한양대
740,741,김성재,포수,6,116.0,2006-05-16,"182cm, 98kg",온곡초(남양주야놀유소년)-청원중-선린인터넷고
741,742,김유성,투수,6,20.0,2002-01-01,"190cm, 98kg",김해삼성초-내동중-김해고-고려대(얼리 드래프트)
742,743,김인태,외야수,6,33.0,1994-07-03,"178cm, 78kg",포항제철서초-천안북중-북일고-두산-경찰
743,744,김재환,외야수,6,32.0,1988-09-22,"183cm, 90kg",영랑초-상인천중-인천고-두산-상무
744,745,김정우,투수,6,30.0,1999-05-15,"183cm, 87kg",소래초-동산중-동산고-SK-상무-SSG
745,746,김준상,내야수,6,94.0,2004-08-02,"184cm, 75kg",부천상일초(부천원미리틀)-모가중-유신고-동의과학대
746,747,김지윤,투수,6,122.0,2004-01-13,"183cm, 84kg",서흥초-인천신흥중-인천고-여주대
747,748,김태완,투수,6,112.0,2005-03-29,"184cm, 87kg",문창초(금천구리틀)-강남중-선린인터넷고
748,749,김택연,투수,6,63.0,2005-06-03,"181cm, 88kg",동막초-상인천중-인천고
749,750,김한중,투수,6,121.0,2004-11-03,"183cm, 89kg",고명초-덕수중-경기상고-여주대
750,751,김호준,투수,6,56.0,1998-05-17,"180cm, 82kg",원주일산초-성남성일중-안산공고
751,752,남호,투수,6,102.0,2000-07-20,"185cm, 86kg",연천초-수원북중-유신고-LG
752,753,류현준,포수,6,11.0,2005-03-25,"182cm, 92kg",문정초(송파구리틀)-배재중-장충고
753,754,박계범,내야수,6,14.0,1996-01-11,"177cm, 84kg",순천북초-순천이수중-효천고-삼성-상무-삼성
754,755,박민제,투수,6,123.0,2003-10-20,"190cm, 98kg",무거초-원동중-대구상원고-동원과학기술대
755,756,박민준,포수,6,26.0,2002-10-21,"183cm, 95kg",아라초-마산동중-용마고-동강대
