PITCHER_STATS_ID,TEAM_ID,PITCHER_STATS_YEAR,PLAYER_NAME,PITCHER_STATS_ERA,PITCHER_STATS_G,PITCHER_STATS_W,PITCHER_STATS_L,PITCHER_STATS_SV,PITCHER_STATS_HLD,PITCHER_STATS_WPCT,PITCHER_STATS_IP,PITCHER_STATS_H,PITCHER_STATS_HR,PITCHER_STATS_BB,PITCHER_STATS_HBP,PITCHER_STATS_SO,PITCHER_STATS_R,PITCHER_STATS_ER,PITCHER_STATS_WHIP
129,2,2008,송승준,3.76 ,26,12,7,0,0,0.632 ,153 1/3,154,7,70,6,114,78,64,1.46 
130,3,2008,윤성환,3.92 ,35,10,11,0,2,0.476 ,135 1/3,132,8,45,7,102,66,59,1.31 
131,5,2008,옥스프링,3.93 ,29,10,10,0,0,0.500 ,174,182,12,77,12,110,83,76,1.49 
132,9,2008,송진우,4.48 ,31,6,8,0,2,0.429 ,132 2/3,141,13,62,6,73,72,66,1.53 
133,6,2008,랜들,4.48 ,29,9,9,0,0,0.500 ,150 2/3,171,15,49,9,101,78,75,1.46 
134,9,2008,정민철,5.23 ,25,6,10,0,0,0.375 ,127 1/3,144,13,40,5,56,78,74,1.45 
135,13,2009,김광현,2.80 ,21,12,2,0,0,0.857 ,138 1/3,121,14,53,4,112,46,43,1.26 
136,13,2009,전병두,3.11 ,49,8,4,8,1,0.667 ,133 1/3,114,13,48,2,136,50,46,1.22 
137,4,2009,로페즈,3.12 ,29,14,5,0,0,0.737 ,190 1/3,200,6,41,10,129,83,66,1.27 
138,13,2009,송은범,3.13 ,31,12,3,0,0,0.800 ,149 1/3,155,17,49,5,103,59,52,1.37 
139,4,2009,양현종,3.15 ,29,12,5,0,1,0.706 ,148 2/3,133,14,58,2,139,55,52,1.28 
140,4,2009,구톰슨,3.24 ,26,13,4,0,0,0.765 ,161 1/3,149,15,46,8,95,61,58,1.21 
141,5,2009,봉중근,3.29 ,26,11,12,0,0,0.478 ,172 1/3,160,13,57,14,127,70,63,1.26 
