GAME_DATE,STADIUM,HOME_SCORE,AWAY_SCORE,IS_RAINED_OUT,HOME_TEAM_NAME,AWAY_TEAM_NAME
2001-06-15 18:30:00,무등,5,8,N,KIA,삼성
2001-06-15 18:30:00,잠실,1,5,N,두산,LG
2001-06-16 18:30:00,마산,4,9,N,롯데,현대
2001-06-16 18:30:00,인천,2,5,N,SK,한화
2001-06-16 18:30:00,무등,0,5,N,KIA,삼성
2001-06-16 18:30:00,잠실,7,4,N,두산,LG
2001-06-17 14:00:00,마산,6,1,N,롯데,현대
2001-06-17 14:00:00,인천,4,1,N,SK,한화
2001-06-17 14:00:00,무등,8,5,N,KIA,삼성
2001-06-17 14:00:00,잠실,4,12,N,두산,LG
2001-06-19 18:30:00,인천,2,6,N,SK,롯데
2001-06-19 18:30:00,잠실,9,3,N,LG,KIA
2001-06-19 18:30:00,수원,10,4,N,현대,두산
2001-06-02 14:30:00,시민,2,8,N,삼성,한화
2001-06-02 17:40:00,시민,7,5,N,삼성,한화
2001-06-02 18:30:00,인천,4,1,N,SK,롯데
2001-06-02 18:30:00,수원,11,8,N,현대,두산
2001-06-21 15:00:00,잠실,3,1,N,LG,KIA
2001-06-21 18:10:00,잠실,10,2,N,LG,KIA
2001-06-21 18:30:00,시민,2,3,N,삼성,한화
2001-06-21 18:30:00,인천,2,6,N,SK,롯데
2001-06-21 18:30:00,수원,5,4,N,현대,두산
2001-06-22 15:00:00,잠실,9,6,N,두산,SK
2001-06-22 18:30:00,시민,4,1,N,삼성,현대
2001-06-22 18:30:00,사직,11,1,N,롯데,LG
2001-06-22 18:30:00,대전,4,5,N,한화,KIA
2001-06-23 18:30:00,시민,7,2,N,삼성,현대
2001-06-23 18:30:00,잠실,10,6,N,두산,SK
2001-06-23 18:30:00,대전,10,18,N,한화,KIA
2001-06-25 18:20:00,시민,2,14,N,삼성,현대
2001-06-25 18:30:00,잠실,4,2,N,두산,SK
2001-06-25 18:30:00,대전,11,8,N,한화,KIA
2001-06-26 18:30:00,인천,12,5,N,SK,LG
2001-06-26 18:30:00,잠실,3,2,N,두산,롯데
2001-06-26 18:30:00,대전,0,3,N,한화,삼성
2001-06-27 15:00:00,무등,1,1,N,KIA,현대
2001-06-27 18:00:00,무등,4,1,N,KIA,현대
2001-06-27 18:30:00,인천,1,2,N,SK,LG
2001-06-27 18:30:00,대전,6,15,N,한화,삼성
2001-06-28 15:00:00,잠실,11,11,N,두산,롯데
2001-06-28 18:30:00,무등,1,4,N,KIA,현대
2001-06-28 18:30:00,인천,5,4,N,SK,LG
2001-06-28 18:30:00,대전,0,2,N,한화,삼성
2001-06-28 18:50:00,잠실,5,3,N,두산,롯데
2001-06-03 15:00:00,잠실,6,1,N,LG,삼성
2001-06-03 15:00:00,사직,6,6,N,롯데,한화
2001-06-03 18:20:00,잠실,4,9,N,LG,삼성
2001-06-03 18:30:00,사직,6,8,N,롯데,한화
2001-07-01 14:00:00,잠실,8,7,N,LG,삼성
2001-07-01 18:30:00,사직,7,2,N,롯데,한화
2001-07-01 18:30:00,수원,5,3,N,현대,SK
2001-07-02 18:30:00,수원,1,3,N,현대,SK
2001-07-03 18:30:00,시민,6,3,N,삼성,KIA
2001-07-03 18:30:00,마산,4,8,N,롯데,두산
2001-07-03 18:30:00,잠실,1,4,N,LG,현대
2001-07-03 18:30:00,청주,5,13,N,한화,SK
2001-07-04 18:30:00,시민,1,4,N,삼성,KIA
2001-07-04 18:30:00,마산,6,9,N,롯데,두산
2001-07-04 18:30:00,잠실,2,1,N,LG,현대
2001-07-04 18:30:00,청주,3,4,N,한화,SK
2001-07-05 18:30:00,잠실,6,6,N,LG,현대
2001-07-05 18:30:00,청주,5,2,N,한화,SK
2001-07-06 18:30:00,시민,2,12,N,삼성,현대
2001-07-06 18:30:00,인천,4,3,N,SK,LG
2001-07-06 18:30:00,잠실,1,2,N,두산,한화
2001-07-07 14:50:00,무등,9,3,N,KIA,롯데
2001-07-07 18:30:00,시민,2,4,N,삼성,현대
2001-07-07 18:30:00,인천,3,4,N,SK,LG
2001-07-07 18:30:00,잠실,1,12,N,두산,한화
2001-07-08 14:00:00,무등,6,13,N,KIA,롯데
2001-07-08 17:50:00,무등,4,5,N,KIA,롯데
2001-07-08 18:20:00,시민,2,4,N,삼성,현대
2001-07-08 18:30:00,인천,0,7,N,SK,LG
2001-07-08 18:30:00,잠실,11,6,N,두산,한화
2001-07-01 18:30:00,대전,1,1,N,한화,LG
2001-07-11 15:00:00,잠실,2,2,N,두산,KIA
2001-07-11 18:20:00,잠실,1,6,N,두산,KIA
2001-07-11 18:30:00,인천,1,10,N,SK,삼성
2001-07-11 18:30:00,수원,4,2,N,현대,롯데
2001-07-11 18:30:00,대전,4,4,N,한화,LG
2001-07-12 18:30:00,인천,5,2,N,SK,삼성
2001-07-12 18:30:00,잠실,1,3,N,두산,KIA
2001-07-12 18:30:00,수원,2,5,N,현대,롯데
2001-07-13 18:30:00,무등,2,8,N,KIA,한화
2001-07-13 18:30:00,사직,2,4,N,롯데,SK
2001-07-14 18:30:00,사직,0,2,N,롯데,SK
2001-07-15 18:30:00,사직,12,6,N,롯데,SK
2001-07-21 14:00:00,무등,2,3,N,KIA,현대
2001-07-21 18:30:00,시민,7,4,N,삼성,롯데
2001-07-22 18:20:00,시민,4,3,N,삼성,롯데
2001-07-22 18:30:00,무등,1,2,N,KIA,현대
2001-07-23 18:30:00,인천,4,3,N,SK,한화
2001-07-23 18:30:00,잠실,1,2,N,LG,두산
2001-07-24 18:30:00,잠실,5,3,N,두산,SK
2001-07-24 18:30:00,사직,7,4,N,롯데,KIA
2001-07-24 18:30:00,수원,9,6,N,현대,LG
2001-07-24 18:30:00,대전,2,3,N,한화,삼성
2001-07-25 18:30:00,사직,0,2,N,롯데,KIA
2001-07-25 18:30:00,수원,8,11,N,현대,LG
2001-07-25 19:30:00,잠실,8,10,N,두산,SK
2001-07-26 18:30:00,사직,7,7,N,롯데,KIA
2001-07-26 18:30:00,수원,4,6,N,현대,LG
2001-07-26 18:30:00,대전,5,13,N,한화,삼성
2001-07-27 18:30:00,잠실,4,7,N,LG,한화
2001-07-27 18:30:00,사직,7,3,N,롯데,두산
2001-07-27 18:30:00,수원,7,3,N,현대,SK
2001-07-28 14:00:00,사직,11,5,N,롯데,두산
2001-07-28 18:20:00,수원,7,3,N,현대,SK
2001-07-28 18:30:00,무등,7,8,N,KIA,삼성
2001-07-28 18:30:00,잠실,5,3,N,LG,한화
2001-07-29 18:30:00,무등,6,8,N,KIA,삼성
2001-07-29 18:30:00,사직,2,8,N,롯데,두산
2001-07-31 18:30:00,시민,7,4,N,삼성,두산
2001-08-01 18:00:00,시민,4,3,N,삼성,두산
2001-08-02 18:30:00,인천,6,2,N,SK,KIA
2001-08-02 18:30:00,잠실,1,3,N,LG,롯데
2001-08-02 18:30:00,대전,9,2,N,한화,현대
2001-08-04 18:30:00,인천,3,2,N,SK,LG
2001-08-04 18:30:00,잠실,1,4,N,두산,한화
2001-08-04 18:30:00,사직,2,0,N,롯데,KIA
2001-08-04 18:30:00,수원,7,2,N,현대,삼성
2001-08-05 18:30:00,인천,2,2,N,SK,LG
2001-08-05 18:30:00,잠실,6,1,N,두산,한화
2001-08-05 18:30:00,사직,2,3,N,롯데,KIA
2001-08-05 18:30:00,수원,4,8,N,현대,삼성
2001-08-07 18:30:00,무등,7,4,N,KIA,SK
2001-08-08 18:30:00,마산,1,3,N,롯데,한화
2001-08-08 18:30:00,무등,7,8,N,KIA,SK
2001-08-08 18:30:00,잠실,6,5,N,두산,현대
2001-08-09 18:30:00,마산,5,11,N,롯데,한화
2001-08-09 18:30:00,시민,8,4,N,삼성,LG
2001-08-09 18:30:00,무등,3,2,N,KIA,SK
2001-08-09 18:30:00,잠실,3,2,N,두산,현대
2001-08-01 18:30:00,시민,3,1,N,삼성,SK
2001-08-01 18:30:00,잠실,6,3,N,LG,KIA
2001-08-01 18:30:00,수원,4,7,N,현대,롯데
2001-08-01 18:30:00,대전,4,11,N,한화,두산
2001-08-11 18:30:00,시민,6,2,N,삼성,SK
2001-08-11 18:30:00,잠실,18,6,N,LG,KIA
2001-08-11 18:30:00,수원,5,3,N,현대,롯데
2001-08-11 18:30:00,대전,4,1,N,한화,두산
